block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;flops;
150;benchmark;;57.42;83.87;83.87;83.87;83.87;0;0;1;;
149;benchmark;;5.15;7.51;7.51;7.51;7.51;0;0;1;;
71;benchmark;;3.81;5.57;5.57;5.57;5.57;0;0;1;;
55;benchmark;;1.28;1.87;1.87;1.87;1.87;0;0;1;;
70;benchmark;;0.94;1.37;1.37;1.37;1.37;0;0;1;;
50;benchmark;;0.84;1.23;1.23;1.23;1.23;0;0;1;;
49;benchmark;;0.71;1.03;1.03;1.03;1.03;0;0;1;;
115;benchmark;;0.52;0.76;0.76;0.76;0.76;0;0;1;;
90;benchmark;;0.41;0.6;0.6;0.6;0.6;0;0;1;;
74;benchmark;;0.3;0.44;0.44;0.44;0.44;0;0;1;;
194;benchmark;;0.28;0.41;0.41;0.41;0.41;0;0;1;;
72;benchmark;;0.2;0.28;0.28;0.28;0.28;0;0;1;;
118;benchmark;;0.18;0.26;0.26;0.26;0.26;0;0;1;;
197;benchmark;;0.16;0.23;0.23;0.23;0.23;0;0;1;;
193;benchmark;;0.16;0.23;0.23;0.23;0.23;0;0;1;;
177;benchmark;;0.14;0.21;0.21;0.21;0.21;0;0;1;;
76;benchmark;;0.11;0.16;0.16;0.16;0.16;0;0;1;;
67;benchmark;;0.09;0.13;0.13;0.13;0.13;0;0;1;;
56;benchmark;;0.08;0.12;0.12;0.12;0.12;0;0;1;;
114;benchmark;;0.08;0.12;0.12;0.12;0.12;0;0;1;;
89;benchmark;;0.08;0.11;0.11;0.11;0.11;0;0;1;;
53;benchmark;;0.05;0.08;0.08;0.08;0.08;0;0;1;;
162;benchmark;;0.05;0.07;0.07;0.07;0.07;0;0;1;;
117;benchmark;;0.05;0.07;0.07;0.07;0.07;0;0;1;;
68;benchmark;;0.05;0.07;0.07;0.07;0.07;0;0;1;;
147;benchmark;;0.05;0.07;0.07;0.07;0.07;0;0;1;;
116;benchmark;;0.04;0.05;0.05;0.05;0.05;0;0;1;;
51;benchmark;;0.03;0.05;0.05;0.05;0.05;0;0;1;;
178;benchmark;;0.03;0.04;0.04;0.04;0.04;0;0;1;;
111;benchmark;;0.03;0.04;0.04;0.04;0.04;0;0;1;;
57;benchmark;;0.02;0.04;0.04;0.04;0.04;0;0;1;;
64;benchmark;;0.02;0.04;0.04;0.04;0.04;0;0;1;;
75;benchmark;;0.02;0.03;0.03;0.03;0.03;0;0;1;;
180;benchmark;;0.02;0.03;0.02;0.02;0.02;0;0;1;;
91;benchmark;;0.01;0.02;0.02;0.02;0.02;0;0;1;;
148;benchmark;;0.01;0.02;0.02;0.02;0.02;0;0;1;;
119;benchmark;;0.01;0.02;0.02;0.02;0.02;0;0;1;;
32;benchmark;;0.01;0.01;0.01;0.01;0.01;0;0;1;;
31;benchmark;;0.01;0.01;0.01;0.01;0.01;0;0;1;;
86;benchmark;;0.01;0.01;0.01;0.01;0.01;0;0;1;;
106;benchmark;;0.01;0.01;0.01;0.01;0.01;0;0;1;;
109;benchmark;;0.01;0.01;0.01;0.01;0.01;0;0;1;;
127;benchmark;;0.01;0.01;0.01;0.01;0.01;0;0;1;;
129;benchmark;;0.01;0.01;0.01;0.01;0.01;0;0;1;;
92;benchmark;;0.01;0.01;0.01;0.01;0.01;0;0;1;;
83;benchmark;;0.01;0.01;0.01;0.01;0.01;0;0;1;;
37;benchmark;;0;0;0;0;0;0;0;1;;
69;benchmark;;0;0;0;0;0;0;0;1;;
120;benchmark;;0;0;0;0;0;0;0;1;;
128;benchmark;;0;0;0;0;0;0;0;1;;
87;benchmark;;0;0;0;0;0;0;0;1;;
45;benchmark;;0;0;0;0;0;0;0;1;;
181;benchmark;;0;0;0;0;0;0;0;1;;
161;benchmark;;0;0;0;0;0;0;0;1;;
206;benchmark;;0;0;0;0;0;0;0;1;;
47;benchmark;;0;0;0;0;0;0;0;1;;
