block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;flops;
150;benchmark;;57.42;83.87;;;;;;;;
149;benchmark;;5.15;7.51;;;;;;;;
71;benchmark;;3.81;5.57;;;;;;;;
55;benchmark;;1.28;1.87;;;;;;;;
70;benchmark;;0.94;1.37;;;;;;;;
50;benchmark;;0.84;1.23;;;;;;;;
49;benchmark;;0.71;1.03;;;;;;;;
115;benchmark;;0.52;0.76;;;;;;;;
90;benchmark;;0.41;0.6;;;;;;;;
74;benchmark;;0.3;0.44;;;;;;;;
194;benchmark;;0.28;0.41;;;;;;;;
72;benchmark;;0.2;0.28;;;;;;;;
118;benchmark;;0.18;0.26;;;;;;;;
197;benchmark;;0.16;0.23;;;;;;;;
193;benchmark;;0.16;0.23;;;;;;;;
177;benchmark;;0.14;0.21;;;;;;;;
76;benchmark;;0.11;0.16;;;;;;;;
67;benchmark;;0.09;0.13;;;;;;;;
56;benchmark;;0.08;0.12;;;;;;;;
114;benchmark;;0.08;0.12;;;;;;;;
89;benchmark;;0.08;0.11;;;;;;;;
53;benchmark;;0.05;0.08;;;;;;;;
162;benchmark;;0.05;0.07;;;;;;;;
117;benchmark;;0.05;0.07;;;;;;;;
68;benchmark;;0.05;0.07;;;;;;;;
147;benchmark;;0.05;0.07;;;;;;;;
116;benchmark;;0.04;0.05;;;;;;;;
51;benchmark;;0.03;0.05;;;;;;;;
178;benchmark;;0.03;0.04;;;;;;;;
111;benchmark;;0.03;0.04;;;;;;;;
57;benchmark;;0.02;0.04;;;;;;;;
64;benchmark;;0.02;0.04;;;;;;;;
75;benchmark;;0.02;0.03;;;;;;;;
180;benchmark;;0.02;0.03;;;;;;;;
91;benchmark;;0.01;0.02;;;;;;;;
148;benchmark;;0.01;0.02;;;;;;;;
119;benchmark;;0.01;0.02;;;;;;;;
32;benchmark;;0.01;0.01;;;;;;;;
31;benchmark;;0.01;0.01;;;;;;;;
86;benchmark;;0.01;0.01;;;;;;;;
106;benchmark;;0.01;0.01;;;;;;;;
109;benchmark;;0.01;0.01;;;;;;;;
127;benchmark;;0.01;0.01;;;;;;;;
129;benchmark;;0.01;0.01;;;;;;;;
92;benchmark;;0.01;0.01;;;;;;;;
83;benchmark;;0.01;0.01;;;;;;;;
37;benchmark;;0;0;;;;;;;;
69;benchmark;;0;0;;;;;;;;
120;benchmark;;0;0;;;;;;;;
128;benchmark;;0;0;;;;;;;;
87;benchmark;;0;0;;;;;;;;
45;benchmark;;0;0;;;;;;;;
181;benchmark;;0;0;;;;;;;;
161;benchmark;;0;0;;;;;;;;
206;benchmark;;0;0;;;;;;;;
47;benchmark;;0;0;;;;;;;;
