function_id;module;function_name;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;cats;label_name;flops;
17;benchmark;multMatrice;;62.63;91.47;91.48;91.48;91.48;0;0;1;"100,0,0,0,0,0,0,0,0,0";multMatrice;;
362;libc.so.6;_IO_fgets;;7.37;10.76;10.76;10.76;10.76;0;0;1;"0,0,0,0,0,0,100,0,0,0";_IO_fgets;;
12;benchmark;generateRandomGraph;;5.55;8.11;8.11;8.11;8.11;0;0;1;"100,0,0,0,0,0,0,0,0,0";generateRandomGraph;;
352;libc.so.6;_IO_vfprintf;;4.49;6.56;6.56;6.56;6.56;0;0;1;"0,0,0,0,0,0,100,0,0,0";_IO_vfprintf;;
262;libc.so.6;random;;3.42;4.99;4.99;4.99;4.99;0;0;1;"0,0,0,0,0,0,0,0,0,100";random;;
11;benchmark;addEdge;;3.03;4.42;4.42;4.42;4.42;0;0;1;"100,0,0,0,0,0,0,0,0,0";addEdge;;
2254;libc.so.6;__nss_database_lookup;;2.34;3.42;3.42;3.42;3.42;0;0;1;"0,0,0,0,0,0,0,0,0,100";__nss_database_lookup;;
371;libc.so.6;_IO_getline_info;;1.77;2.59;2.59;2.59;2.59;0;0;1;"0,0,0,0,0,0,100,0,0,0";_IO_getline_info;;
778;libc.so.6;__default_morecore;;1.57;2.29;2.29;2.29;2.29;0;0;1;"0,0,0,0,100,0,0,0,0,0";__default_morecore;;
501;libc.so.6;_IO_file_xsputn;;1.18;1.72;1.72;1.72;1.72;0;0;1;"0,0,0,0,0,0,100,0,0,0";_IO_file_xsputn;;
14;benchmark;dijkstra;;0.94;1.37;1.37;1.37;1.37;0;0;1;"100,0,0,0,0,0,0,0,0,0";dijkstra;;
777;libc.so.6;timer_settime;;0.88;1.29;1.29;1.29;1.29;0;0;1;"0,0,0,0,100,0,0,0,0,0";timer_settime;;
20;benchmark;createWandRFile;;0.8;1.16;1.16;1.16;1.16;0;0;1;"100,0,0,0,0,0,0,0,0,0";createWandRFile;;
781;libc.so.6;__libc_realloc;;0.59;0.86;0.86;0.86;0.86;0;0;1;"0,0,0,0,0,0,0,0,100,0";__libc_realloc;;
13;benchmark;bfs;;0.53;0.77;0.77;0.77;0.77;0;0;1;"100,0,0,0,0,0,0,0,0,0";bfs;;
309;libc.so.6;__strtof128_nan;;0.5;0.73;0.73;0.73;0.73;0;0;1;"0,0,0,0,0,0,0,100,0,0";__strtof128_nan;;
266;libc.so.6;random_r;;0.36;0.52;0.52;0.52;0.52;0;0;1;"0,0,0,0,0,0,0,0,0,100";random_r;;
445;libc.so.6;_IO_feof;;0.28;0.41;0.41;0.41;0.41;0;0;1;"0,0,0,0,0,0,100,0,0,0";_IO_feof;;
315;libc.so.6;_IO_fprintf;;0.25;0.36;0.36;0.36;0.36;0;0;1;"0,0,0,0,0,0,100,0,0,0";_IO_fprintf;;
41;libc.so.6;@plt;;0.2;0.28;0.28;0.28;0.28;0;0;1;"0,0,0,0,100,0,0,0,0,0";@plt;;
780;libc.so.6;__libc_free;;0.18;0.26;0.26;0.26;0.26;0;0;1;"0,0,0,0,0,0,0,0,100,0";__libc_free;;
572;libc.so.6;__nptl_death_event;;0.17;0.25;0.24;0.24;0.24;0;0;1;"0,0,0,0,0,100,0,0,0,0";__nptl_death_event;;
257;libc.so.6;rand;;0.14;0.2;0.2;0.2;0.2;0;0;1;"0,0,0,0,0,0,0,0,0,100";rand;;
372;libc.so.6;_IO_getline;;0.13;0.19;0.19;0.19;0.19;0;0;1;"0,0,0,0,0,0,100,0,0,0";_IO_getline;;
10;libc.so.6;@plt;;0.13;0.18;0.18;0.18;0.18;0;0;1;"0,0,0,0,100,0,0,0,0,0";@plt;;
-1;benchmark;unknown_function;;0.1;0.14;0.14;0.14;0.14;0;0;1;"100,0,0,0,0,0,0,0,0,0";Unknown function;;
6;libc.so.6;@plt;;0.07;0.09;0.09;0.09;0.09;0;0;1;"0,0,0,0,100,0,0,0,0,0";@plt;;
19;benchmark;add;;0.05;0.08;0.08;0.08;0.08;0;0;1;"100,0,0,0,0,0,0,0,0,0";add;;
-1;kernel;unknown_kernel_region;;0.05;0.07;0.07;0.07;0.07;0;0;1;"0,0,0,0,100,0,0,0,0,0";unknown kernel region;;
779;libc.so.6;__libc_malloc;;0.03;0.05;0.05;0.05;0.05;0;0;1;"0,0,0,0,0,0,0,0,100,0";__libc_malloc;;
500;libc.so.6;_IO_file_write;;0.03;0.04;0.04;0.04;0.04;0;0;1;"0,0,0,0,0,0,100,0,0,0";_IO_file_write;;
511;libc.so.6;_IO_file_overflow;;0.02;0.04;0.04;0.04;0.04;0;0;1;"0,0,0,0,0,0,100,0,0,0";_IO_file_overflow;;
21;libc.so.6;@plt;;0.02;0.03;0.03;0.03;0.03;0;0;1;"0,0,0,0,100,0,0,0,0,0";@plt;;
522;libc.so.6;_IO_default_xsputn;;0.02;0.03;0.02;0.02;0.02;0;0;1;"0,0,0,0,0,0,100,0,0,0";_IO_default_xsputn;;
513;libc.so.6;_IO_link_in;;0.02;0.03;0.02;0.02;0.02;0;0;1;"0,0,0,0,0,0,100,0,0,0";_IO_link_in;;
15;benchmark;freeGraph;;0.02;0.03;0.02;0.02;0.02;0;0;1;"100,0,0,0,0,0,0,0,0,0";freeGraph;;
526;libc.so.6;_IO_enable_locks;;0.01;0.01;0.01;0.01;0.01;0;0;1;"0,0,0,0,0,0,100,0,0,0";_IO_enable_locks;;
519;libc.so.6;_IO_setb;;0.01;0.01;0.01;0.01;0.01;0;0;1;"0,0,0,0,0,0,100,0,0,0";_IO_setb;;
346;libc.so.6;_IO_sprintf;;0.01;0.01;0.01;0.01;0.01;0;0;1;"0,0,0,0,0,0,0,100,0,0";_IO_sprintf;;
8;benchmark;addToQueue;;0.01;0.01;0.01;0.01;0.01;0;0;1;"100,0,0,0,0,0,0,0,0,0";addToQueue;;
7;benchmark;isEmpty;;0.01;0.01;0.01;0.01;0.01;0;0;1;"100,0,0,0,0,0,0,0,0,0";isEmpty;;
1257;libc.so.6;unlink;;0.01;0.01;0.01;0.01;0.01;0;0;1;"0,0,0,0,0,0,100,0,0,0";unlink;;
1224;libc.so.6;__write;;0.01;0.01;0.01;0.01;0.01;0;0;1;"0,0,0,0,0,0,100,0,0,0";__write;;
1223;libc.so.6;__read;;0.01;0.01;0.01;0.01;0.01;0;0;1;"0,0,0,0,0,0,100,0,0,0";__read;;
1218;libc.so.6;__open;;0.01;0.01;0.01;0.01;0.01;0;0;1;"0,0,0,0,0,100,0,0,0,0";__open;;
510;libc.so.6;_IO_file_underflow;;0.01;0.01;0.01;0.01;0.01;0;0;1;"0,0,0,0,0,0,100,0,0,0";_IO_file_underflow;;
506;libc.so.6;_IO_file_open;;0.01;0.01;0.01;0.01;0.01;0;0;1;"0,0,0,0,0,0,100,0,0,0";_IO_file_open;;
502;libc.so.6;_IO_file_read;;0.01;0.01;0.01;0.01;0.01;0;0;1;"0,0,0,0,0,0,100,0,0,0";_IO_file_read;;
496;libc.so.6;_IO_file_setbuf;;0.01;0.01;0.01;0.01;0.01;0;0;1;"0,0,0,0,0,0,100,0,0,0";_IO_file_setbuf;;
358;libc.so.6;_IO_fclose;;0.01;0.01;0.01;0.01;0.01;0;0;1;"0,0,0,0,0,0,100,0,0,0";_IO_fclose;;
10;benchmark;createGraph;;0.01;0.01;0.01;0.01;0.01;0;0;1;"100,0,0,0,0,0,0,0,0,0";createGraph;;
1200;libc.so.6;__fstat64;;0;0;0;0;0;0;0;1;"0,0,0,0,0,0,100,0,0,0";__fstat64;;
509;libc.so.6;_IO_do_write;;0;0;0;0;0;0;0;1;"0,0,0,0,0,0,100,0,0,0";_IO_do_write;;
504;libc.so.6;_IO_file_close_it;;0;0;0;0;0;0;0;1;"0,0,0,0,0,0,100,0,0,0";_IO_file_close_it;;
383;libc.so.6;_IO_ungetc;;0;0;0;0;0;0;0;1;"0,0,0,0,0,0,100,0,0,0";_IO_ungetc;;
363;libc.so.6;_IO_fopen;;0;0;0;0;0;0;0;1;"0,0,0,0,0,0,100,0,0,0";_IO_fopen;;
340;libc.so.6;remove;;0;0;0;0;0;0;0;1;"0,0,0,0,0,0,100,0,0,0";remove;;
21;benchmark;removeFile;;0;0;0;0;0;0;0;1;"100,0,0,0,0,0,0,0,0,0";removeFile;;
9;benchmark;removeFromQueue;;0;0;0;0;0;0;0;1;"100,0,0,0,0,0,0,0,0,0";removeFromQueue;;
