loop_id;module;function_name;function_id;source_info;level;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;flops;
12;benchmark;multMatrice;17;;Innermost;62.57;91.39;91.39;91.39;91.39;0;0;1;;
2;benchmark;generateRandomGraph;12;;Innermost;4.95;7.23;7.23;7.23;7.23;0;0;1;;
7;benchmark;dijkstra;14;;Innermost;0.89;1.3;1.3;1.3;1.3;0;0;1;;
1;benchmark;generateRandomGraph;12;;Outermost;0.61;0.89;0.89;0.89;0.89;0;0;1;;
20;benchmark;createWandRFile;20;;Innermost;0.6;0.88;0.88;0.88;0.88;0;0;1;;
4;benchmark;bfs;13;;Innermost;0.51;0.74;0.74;0.74;0.74;0;0;1;;
18;benchmark;createWandRFile;20;;Innermost;0.19;0.28;0.28;0.28;0.28;0;0;1;;
13;benchmark;multMatrice;17;;InBetween;0.06;0.09;0.09;0.09;0.09;0;0;1;;
16;benchmark;add;19;;Innermost;0.05;0.08;0.08;0.08;0.08;0;0;1;;
8;benchmark;dijkstra;14;;Outermost;0.04;0.05;0.05;0.05;0.05;0;0;1;;
9;benchmark;freeGraph;15;;Single;0.02;0.03;0.02;0.02;0.02;0;0;1;;
5;benchmark;bfs;13;;Outermost;0.01;0.02;0.02;0.02;0.02;0;0;1;;
6;benchmark;dijkstra;14;;Single;0.01;0.01;0.01;0.01;0.01;0;0;1;;
3;benchmark;bfs;13;;Single;0.01;0.01;0.01;0.01;0.01;0;0;1;;
0;benchmark;createGraph;10;;Single;0.01;0.01;0.01;0.01;0.01;0;0;1;;
19;benchmark;createWandRFile;20;;Outermost;0;0;0;0;0;0;0;1;;
22;benchmark;removeFile;21;;Single;0;0;0;0;0;0;0;1;;
