loop_id;module;function_name;function_id;source_info;level;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;flops;
12;benchmark;multMatrice;17;;Innermost;62.57;91.39;;;;;;;;
2;benchmark;generateRandomGraph;12;;Innermost;4.95;7.23;;;;;;;;
7;benchmark;dijkstra;14;;Innermost;0.89;1.3;;;;;;;;
1;benchmark;generateRandomGraph;12;;Outermost;0.61;0.89;;;;;;;;
20;benchmark;createWandRFile;20;;Innermost;0.6;0.88;;;;;;;;
4;benchmark;bfs;13;;Innermost;0.51;0.74;;;;;;;;
18;benchmark;createWandRFile;20;;Innermost;0.19;0.28;;;;;;;;
13;benchmark;multMatrice;17;;InBetween;0.06;0.09;;;;;;;;
16;benchmark;add;19;;Innermost;0.05;0.08;;;;;;;;
8;benchmark;dijkstra;14;;Outermost;0.04;0.05;;;;;;;;
9;benchmark;freeGraph;15;;Single;0.02;0.03;;;;;;;;
5;benchmark;bfs;13;;Outermost;0.01;0.02;;;;;;;;
6;benchmark;dijkstra;14;;Single;0.01;0.01;;;;;;;;
3;benchmark;bfs;13;;Single;0.01;0.01;;;;;;;;
0;benchmark;createGraph;10;;Single;0.01;0.01;;;;;;;;
19;benchmark;createWandRFile;20;;Outermost;0;0;;;;;;;;
22;benchmark;removeFile;21;;Single;0;0;;;;;;;;
